Country_Code,City,Longitude,Latitude
1,Agra,78.39306544,27.59210899
1,Agra,77.56926454,27.32148199
1,Agra,78.32007388,27.42693969
1,Agra,77.96901163,26.70144979
1,Agra,77.77452818,27.55410039
1,Agra,77.85757282,27.09904871
1,Agra,77.87801951,26.87169163
1,Agra,77.86670478,27.21919026
1,Agra,78.12048452,27.03206174
1,Agra,78.31537021,26.89333589
1,Agra,78.28221963,26.99303023
1,Agra,78.29155322,27.3916763
1,Agra,78.0913423,27.06211483
1,Agra,78.1513434,26.95604881
1,Agra,77.52936527,27.57901325
1,Agra,78.43791969,26.87900389
1,Agra,78.00666654,26.84821457
1,Agra,77.88956798,27.57625374
1,Agra,78.48302666,26.94586803
1,Agra,77.73060003,27.24412766
1,Agra,78.00666342,26.86415015
1,Agra,77.75296595,27.31843232
1,Agra,77.62643373,27.01547816
1,Agra,78.42851399,27.53026415
1,Agra,77.61559049,27.58491177
1,Agra,78.32774882,27.1901418
1,Agra,77.53602108,27.38911138
1,Agra,78.2851433,26.97061491
1,Agra,77.83662227,27.45194931
1,Agra,78.00236961,27.1335639
1,Ahmedabad,72.40586068,22.76155048
1,Ahmedabad,72.66946177,22.72572849
1,Ahmedabad,72.68063936,22.72173756
1,Ahmedabad,72.60289026,23.19035256
1,Ahmedabad,72.563429,23.24043834
1,Ahmedabad,72.13371189,23.23345629
1,Ahmedabad,72.63990669,22.94761724
1,Ahmedabad,72.36740874,22.62106873
1,Ahmedabad,72.47732293,22.80420606
1,Ahmedabad,72.71353883,23.46994777
1,Ahmedabad,72.20281815,23.31499077
1,Ahmedabad,72.08051448,22.75209912
1,Ahmedabad,72.82309923,22.93890726
1,Ahmedabad,72.70057662,23.01401516
1,Ahmedabad,72.24708401,22.71927258
1,Ahmedabad,72.68517804,23.45114539
1,Ahmedabad,72.39216905,22.76311666
1,Ahmedabad,73.04571125,22.56938739
1,Ahmedabad,73.03823065,23.52870562
1,Ahmedabad,72.25289932,23.16420952
1,Ahmedabad,72.45338443,22.56755334
1,Ahmedabad,72.87065747,22.98142108
1,Ahmedabad,72.53200685,22.60985202
1,Ahmedabad,72.38247066,23.01890949
1,Ahmedabad,72.74066658,23.44394651
1,Ahmedabad,72.6881752,23.47186101
1,Ahmedabad,72.5448507,22.82414497
1,Ahmedabad,72.78529877,23.00343531
1,Ahmedabad,72.52680321,23.51982694
1,Ahmedabad,72.47326055,22.59542494
1,Allahabad,81.54875573,25.19671435
1,Allahabad,81.62956507,25.27319527
1,Allahabad,82.20340526,25.20415199
1,Allahabad,81.79332772,25.30505047
1,Allahabad,81.89033256,25.33107739
1,Allahabad,82.10049825,25.81136008
1,Allahabad,81.59028798,25.84410969
1,Allahabad,81.98685931,25.74236754
1,Allahabad,82.09030981,25.80283761
1,Allahabad,81.51912394,25.74008783
1,Allahabad,81.46959749,25.3596254
1,Allahabad,81.63954667,25.8266466
1,Allahabad,81.91820212,25.15780535
1,Allahabad,81.86143501,25.75905927
1,Allahabad,81.39305296,25.95304153
1,Allahabad,82.12242243,25.36772745
1,Allahabad,81.543914,25.48692006
1,Allahabad,81.85548639,25.15969295
1,Allahabad,82.10249051,25.29900574
1,Allahabad,82.25858157,24.98071528
1,Allahabad,81.4526621,25.05102787
1,Allahabad,81.54974298,25.72662729
1,Allahabad,81.75049621,25.94346301
1,Allahabad,81.34179264,25.08708162
1,Allahabad,81.7893591,25.25957991
1,Allahabad,81.57754271,25.08544459
1,Allahabad,81.97087863,25.76615462
1,Allahabad,82.13050912,25.5059875
1,Allahabad,81.48256915,25.37214037
1,Allahabad,81.53232733,25.13815716
1,Amritsar,75.09411122,32.03086381
1,Amritsar,74.83940579,31.64700876
1,Amritsar,75.29501164,31.32157962
1,Amritsar,74.85960651,31.41255377
1,Amritsar,74.91583938,31.3484551
1,Amritsar,74.52721378,31.64538618
1,Amritsar,74.79800555,31.73922495
1,Amritsar,74.59628951,31.28020136
1,Amritsar,74.62298661,31.29051829
1,Amritsar,74.84043314,31.69287596
1,Amritsar,75.05466913,31.33848059
1,Amritsar,75.14274307,31.18087899
1,Amritsar,75.01534625,32.11105567
1,Amritsar,74.93899733,31.16065897
1,Amritsar,74.4630892,31.67092622
1,Amritsar,75.00572784,31.38699159
1,Amritsar,75.10253342,31.30065142
1,Amritsar,74.82803213,31.77500999
1,Amritsar,75.26064788,31.39174578
1,Amritsar,74.50702424,32.10940468
1,Amritsar,74.71290895,31.9630589
1,Amritsar,75.27278686,31.54048307
1,Amritsar,74.62954944,31.20754269
