_id,country,dsc,id,img,name,price,rate,sections
6120e2b5675476804e224fe8,"Kansas City, KS","Joe's KC Ribs, Brisket & Burnt Ends",ribs-brisket-and-burnt-ends,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/79619/joes-kc-ribs-brisket-and-burnt-ends.6710e994980e485e6441b794717ad6fb.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,"Joe's KC BBQ",110.99,4,bbqs
6120e2b5675476804e224fe9,"Kinston, NC",Carolina BBQ Oink Sampler,005-kings-carolina-oink-sampler,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/66752/carolina-bbq-oink-sampler.1340b5a10cedc238cb2280306dd1d5a5.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Kings BBQ,89,4,bbqs
6120e2b5675476804e224fea,"Lexington, TX","Texas Monthly's #1 BBQ Brisket",texas-monthlys-1-bbq-brisket,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/131249/texas-monthlys-1-bbq-brisket.1006a061be7acae03992e420fbca995a.png?ixlib=react-9.0.2&auto=format&ar=1%3A1,"Snow's BBQ",199,4,bbqs
6120e2b5675476804e224feb,"Memphis, TN",Ribs & Pulled Pork Dinner for 4,17352-ribs-and-pulled-pork-small-combo-pack,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/137366/Central-BBQ-Ribs-Pulled-Pork-Dinner-1.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Central BBQ,79,4,bbqs
6120e2b5675476804e224fec,"Austin, TX",Whole Brisket + Texas Barbecue BBQ Sauce,whole-brisket-texas-bbq-sauce,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/110384/whole-brisket-texas-barbecue-bbq-sauce.e07ee4818b20ed43d217bf67fedd41ce.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Franklin Barbecue,249,4,bbqs
6120e2b5675476804e224fed,"Austin, TX",Whole Texas Smoked Brisket,whole-texas-smoked-brisket,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/101071/whole-texas-smoked-brisket.a5558a25381e271408e197936e7985d8.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,"Terry Black's Barbecue",189,5,bbqs
6120e2b5675476804e224fee,"Kansas City, MO",Barbeque Sampler for 8,barbeque-Sampler-for-8,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/110287/barbeque-sampler-for-4-6.edb4e60564852c9d0227634c31fab279.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,"Arthur Bryant's Barbeque",139,5,bbqs
6120e2b5675476804e224fef,"Memphis, TN",Ribs & Pulled Pork Dinner for 8,17352-ribs-and-pulled-pork-medium-combo-pack,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/137368/Central-BBQ-Ribs-Pulled-Pork-Party-Pack-1_.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Central BBQ,109,4,bbqs
6120e2b5675476804e224ff0,"Los Angeles, CA","Mini Trinity BBQ Combo - Brisket, Ribs & Links",mini-trinity-bbq-combo-brisket-ribs-and-links,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/90406/mini-trinity-bbq-combo-brisket-ribs-and-links.245582f593bf64b23b57dfca2be18cfd.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,"Bludso's BBQ",139,4,bbqs
6120e2b5675476804e224ff1,"New York, NY",Blue Smoke Baby Back Ribs + Backyard Barbecue Chicken Combo,235203-blue-smoke-baby-back-ribs-backyard-barbecue-chicken-combo,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/113814/blue-smoke-baby-back-ribs-backyard-barbecue-chicken-combo.a95a3e632ae324f719738a2a5c1dff6e.png?ixlib=react-9.0.2&auto=format&ar=1%3A1,Blue Smoke,129,4,bbqs
6120e2b5675476804e224ff2,"Austin, TX",Whole Brisket + Sausage + Texas Barbecue BBQ Sauce,whole-brisket-sausage-texas-barbecue-bbq-sauce,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/131846/whole-brisket-sausage-texas-barbecue-bbq-sauce.ffb470cab2f454fd848faa5dddfe65f5.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Franklin Barbecue,289,5,bbqs
6120e2b5675476804e224ff3,"Kinston, NC",BBQ Meat Lovers Special for 10,006-kings-meat-lovers-special,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/66734/bbq-meat-lovers-special-for-10.36ca670fda4bfa783c2ea9165e068d26.jpg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Kings BBQ,139,5,bbqs
6120e2b5675476804e224ff4,"Los Angeles, CA",The Big Ugly BBQ Dinner for 6,the-big-ugly-bbq-dinner-for-6,https://goldbelly.imgix.net/uploads/showcase_media_asset/image/132122/the-big-ugly-bbq-dinner-for-6.2dfae7818811adddce85cc1a910881a0.jpeg?ixlib=react-9.0.2&auto=format&ar=1%3A1,Ugly Drum,229,5,bbqs
