_id,country,country_code
6120e1b51ca9fa6180ecf43f,India,1
6120e1b51ca9fa6180ecf440,Australia,14
6120e1b51ca9fa6180ecf441,Brazil,30
6120e1b51ca9fa6180ecf442,Canada,37
6120e1b51ca9fa6180ecf443,Indonesia,94
6120e1b51ca9fa6180ecf444,New Zealand,148
6120e1b51ca9fa6180ecf445,Phillipines,162
6120e1b51ca9fa6180ecf446,Qatar,166
6120e1b51ca9fa6180ecf447,Singapore,184
6120e1b51ca9fa6180ecf448,South Africa,189
6120e1b51ca9fa6180ecf449,Sri Lanka,191
6120e1b51ca9fa6180ecf44a,Turkey,208
6120e1b51ca9fa6180ecf44b,UAE,214
6120e1b51ca9fa6180ecf44c,United Kingdom,215
6120e1b51ca9fa6180ecf44d,United States,216
