Driver_Id,Order_Id,Order_Latitude,Order_Longitude,Order_Time,Restaurant_Id,Restaurant_Latitude,Restaurant_Longitude,_id
611f957656a6a3e93927b457,61184a208c61f86620862a83,41.658493152210646,-91.56521690407673,2021-01-01 17:41:06,17316018,42.0249,-91.6224,6120e73ef0cbe23cef9b4870
611f957656a6a3e93927b458,61184a208c61f86620862a82,41.69261093021643,-91.55438732065392,2021-01-01 15:30:43,17316389,41.670466,-91.569767,6120e73ff0cbe23cef9b4871
611f957656a6a3e93927b459,61184a208c61f86620862a83,41.664039030580696,-91.51436240978869,2021-01-01 14:13:08,17316018,42.0249,-91.6224,6120e73ff0cbe23cef9b4872
611f957656a6a3e93927b45a,61184a208c61f86620862a83,41.69607228199969,-91.54904741127652,2021-01-01 10:59:03,17316416,41.6625,-91.5318,6120e73ff0cbe23cef9b4873
611f957656a6a3e93927b45b,61184a208c61f86620862a82,41.694339322426124,-91.5219428417948,2021-01-01 17:28:52,17316766,41.663751,-91.531093,6120e73ff0cbe23cef9b4874
611f957656a6a3e93927b45c,61184a208c61f86620862a82,41.66229846994206,-91.53369893878492,2021-01-01 22:08:46,17316766,41.663751,-91.531093,6120e73ff0cbe23cef9b4875
611f957656a6a3e93927b45d,61184a208c61f86620862a82,41.64903742598995,-91.50629218056862,2021-01-01 14:07:59,17316201,41.9639,-91.7266,6120e73ff0cbe23cef9b4876
611f957656a6a3e93927b45e,61184a208c61f86620862a82,41.684005368368915,-91.56328112260368,2021-01-01 11:50:57,17316416,41.6625,-91.5318,6120e73ff0cbe23cef9b4877
611f957656a6a3e93927b45f,61184a208c61f86620862a83,41.69417064202495,-91.5556414797177,2021-01-01 22:39:47,17316771,42.0215347,-91.6499622,6120e73ff0cbe23cef9b4878
611f957656a6a3e93927b460,61184a208c61f86620862a82,41.64888582785363,-91.54798713869025,2021-01-01 15:07:00,17316233,42.0179,-91.6336,6120e73ff0cbe23cef9b4879
611f957656a6a3e93927b461,61184a208c61f86620862a82,41.65964516698849,-91.50463832818502,2021-01-01 22:16:36,17316381,41.661,-91.5341,6120e73ff0cbe23cef9b487a
611f957656a6a3e93927b462,61184a208c61f86620862a83,41.65138054261875,-91.52730229664975,2021-01-01 17:22:30,17315883,42.0281,-91.6327,6120e73ff0cbe23cef9b487b
611f957656a6a3e93927b463,61184a208c61f86620862a83,41.66402503932488,-91.55351387218593,2021-01-01 11:51:01,17316208,42.0468,-91.6394,6120e73ff0cbe23cef9b487c
611f957656a6a3e93927b464,61184a208c61f86620862a83,41.6314960769406,-91.54977583993023,2021-01-01 16:03:45,17316381,41.661,-91.5341,6120e73ff0cbe23cef9b487d
611f957656a6a3e93927b465,61184a208c61f86620862a83,41.658607193863666,-91.5071631662506,2021-01-01 16:58:43,17316278,41.6685,-91.5687,6120e73ff0cbe23cef9b487e
