Capacity,City,Country_Code,Latitude,Longitude,Route,Velocity,_id
0,Agra,1,27.199028679132457,78.0472044694693,[],0,6120e0a841c77860116a7228
0,Agra,1,27.136615287396054,77.99719112631871,[],0,6120e0a841c77860116a7229
0,Agra,1,27.22637144992974,78.02117772547274,[],0,6120e0a841c77860116a722a
0,Agra,1,27.21182800069115,78.04913136194313,[],0,6120e0a841c77860116a722b
0,Agra,1,27.146464885802484,78.02029820505285,[],0,6120e0a841c77860116a722c
0,Agra,1,27.140590086051166,78.01627272186819,[],0,6120e0a841c77860116a722d
0,Agra,1,27.185492155059634,77.98156182678008,[],0,6120e0a841c77860116a722e
0,Agra,1,27.17878893092717,78.0269123291343,[],0,6120e0a841c77860116a722f
0,Agra,1,27.1824361354204,78.01923394954675,[],0,6120e0a841c77860116a7230
0,Agra,1,27.13169291603762,78.04720345892328,[],0,6120e0a841c77860116a7231
0,Agra,1,27.205541976144524,78.02129302266397,[],0,6120e0a841c77860116a7232
0,Agra,1,27.22227198743049,77.9752615299051,[],0,6120e0a841c77860116a7233
0,Agra,1,27.13775760030215,78.00510039537019,[],0,6120e0a841c77860116a7234
0,Agra,1,27.229387962136578,77.98032743397216,[],0,6120e0a841c77860116a7235
0,Agra,1,27.16134156700374,77.99335368392919,[],0,6120e0a841c77860116a7236
0,Agra,1,27.16378228626316,77.97520949843573,[],0,6120e0a841c77860116a7237
0,Agra,1,27.15077437675547,78.00929160350948,[],0,6120e0a841c77860116a7238
0,Agra,1,27.150466202504877,78.04239210250324,[],0,6120e0a841c77860116a7239
0,Agra,1,27.217650925146526,78.01855860941704,[],0,6120e0a841c77860116a723a
0,Agra,1,27.131821760890794,78.0587972405522,[],0,6120e0a841c77860116a723b
0,Agra,1,27.219944980076015,77.97507124106632,[],0,6120e0a841c77860116a723c
0,Agra,1,27.13693474751955,78.05955275018383,[],0,6120e0a841c77860116a723d
0,Agra,1,27.146031126114462,78.04895618899283,[],0,6120e0a841c77860116a723e
0,Agra,1,27.156054466667456,77.9898679326015,[],0,6120e0a841c77860116a723f
0,Agra,1,27.139389308282073,78.00584753723513,[],0,6120e0a841c77860116a7240
0,Agra,1,27.188777490404526,78.03368469157773,[],0,6120e0a841c77860116a7241
0,Agra,1,27.21142576131893,78.04663923931179,[],0,6120e0a841c77860116a7242
0,Agra,1,27.15498085837757,78.03369794157277,[],0,6120e0a841c77860116a7243
0,Agra,1,27.20753098591451,77.97895856794156,[],0,6120e0a841c77860116a7244
0,Agra,1,27.131522801929517,77.98944486765242,[],0,6120e0a841c77860116a7245
0,Ahmedabad,1,23.09362898516628,72.6341493800754,[],0,6120e0a841c77860116a7246
0,Ahmedabad,1,22.961310265333196,72.5106531293531,[],0,6120e0a841c77860116a7247
0,Ahmedabad,1,23.04161437953837,72.54575826483983,[],0,6120e0a841c77860116a7248
0,Ahmedabad,1,23.009261160518427,72.58151009100197,[],0,6120e0a841c77860116a7249
0,Ahmedabad,1,22.979568160021625,72.65977056332255,[],0,6120e0a841c77860116a724a
0,Ahmedabad,1,23.033835654508422,72.48958580384215,[],0,6120e0a841c77860116a724b
0,Ahmedabad,1,23.087041495747805,72.56916305287406,[],0,6120e0a841c77860116a724c
0,Ahmedabad,1,23.06184109479973,72.4851590698622,[],0,6120e0a841c77860116a724d
0,Ahmedabad,1,23.124515096749214,72.52803282758946,[],0,6120e0a841c77860116a724e
0,Ahmedabad,1,23.02361518328273,72.5267736570421,[],0,6120e0a841c77860116a724f
0,Ahmedabad,1,22.98669189258659,72.54067968606579,[],0,6120e0a841c77860116a7250
0,Ahmedabad,1,23.074186053201956,72.52183279850343,[],0,6120e0a841c77860116a7251
0,Ahmedabad,1,23.08499341960643,72.52010371342516,[],0,6120e0a841c77860116a7252
0,Ahmedabad,1,22.998103118548695,72.50017327497791,[],0,6120e0a841c77860116a7253
0,Ahmedabad,1,23.00022456634583,72.59613212224785,[],0,6120e0a841c77860116a7254
0,Ahmedabad,1,22.965012233841588,72.51319046513251,[],0,6120e0a841c77860116a7255
0,Ahmedabad,1,23.081369617513445,72.59000844550403,[],0,6120e0a841c77860116a7256
0,Ahmedabad,1,23.074793702221864,72.57711144989189,[],0,6120e0a841c77860116a7257
0,Ahmedabad,1,23.064886977237983,72.50327648387795,[],0,6120e0a841c77860116a7258
0,Ahmedabad,1,23.013288414731424,72.52123540656613,[],0,6120e0a841c77860116a7259
0,Ahmedabad,1,22.979779057763746,72.63969931084347,[],0,6120e0a841c77860116a725a
0,Ahmedabad,1,23.07631751171669,72.64316732203106,[],0,6120e0a841c77860116a725b
0,Ahmedabad,1,23.017189059568366,72.49513623553959,[],0,6120e0a841c77860116a725c
0,Ahmedabad,1,22.981134234889588,72.51623108459228,[],0,6120e0a841c77860116a725d
0,Ahmedabad,1,23.11491485535684,72.49985611530568,[],0,6120e0a841c77860116a725e
0,Ahmedabad,1,23.007872855402937,72.52436697203159,[],0,6120e0a841c77860116a725f
0,Ahmedabad,1,22.94393224040538,72.65872398302844,[],0,6120e0a841c77860116a7260
0,Ahmedabad,1,23.019882170109952,72.6241546270525,[],0,6120e0a841c77860116a7261
0,Ahmedabad,1,23.068023628179695,72.52791733363345,[],0,6120e0a841c77860116a7262
0,Ahmedabad,1,23.08438251017357,72.4838412332151,[],0,6120e0a841c77860116a7263
0,Allahabad,1,25.510577928243002,81.8064375438999,[],0,6120e0a841c77860116a7264
0,Allahabad,1,25.487571706673016,81.83295534057864,[],0,6120e0a841c77860116a7265
